aisle_group_id,aisle_name,head_term,products,chains,min_price_eur,top_form,base_share,sample_names
2,ZUIVEL & EIEREN,proteïnedrink,19,6,0.95,houdbaar,0.26,High protein drink | AH Protein drink chocolade smaak | HiPRO Protein Drink Framboos Aardbei
2,ZUIVEL & EIEREN,chocolademousse,18,6,1.19,bewerkt,0.00,Almhof Chocolade mousse | Jumbo Vegan Pure Chocolade Mousse 75 g | Almhof Chocolademousse
2,ZUIVEL & EIEREN,yoghurtdrink,17,6,0.89,houdbaar,0.65,CoolBest Fruitontbijt bosvruchten | Yo to Go aardbei | Yo to Go banaan
2,ZUIVEL & EIEREN,burrata,16,6,1.59,vers,1.00,Mamerai Burrata | Jumbo Italiaanse Burrata 50+ 100 g | Melkan Burrata
2,ZUIVEL & EIEREN,mascarpone,12,6,1.95,vers,1.00,Mascarpone | Melkan Mascarpone | Jumbo Mascarpone 250 g
2,ZUIVEL & EIEREN,koffieroom,9,6,0.75,houdbaar,0.78,AH Koffieroom cups | Koffieroom 10% vet | Melkan koffieroom
2,ZUIVEL & EIEREN,witte kaasblokjes,7,6,2.27,bewerkt,0.57,Melkan Witte kaasblokjes in olie met kruiden | Jumbo Witte Kaasblokjes 340 g | Witte kaasblokjes in olie
2,ZUIVEL & EIEREN,griekse yoghurt,72,5,0.79,vers,0.99,AH Yoghurt Griekse stijl | Melkan Griekse stijl yoghurt 10% | Campina High protein greek yoghurt 1.5% fat
2,ZUIVEL & EIEREN,opvolgmelk,70,5,5.99,houdbaar,0.80,Nutrilon Tabs opvolgmelk 2 | Bonbébé Opvolgmelk standaard 2 6-12 maanden | Bonbébé Opvolgmelk standaard 3 10+ maanden
2,ZUIVEL & EIEREN,sojadrink,47,5,0.63,houdbaar,0.87,Melkan Soja drink naturel gezoet | Melkan Sojadrink naturel | AH Terra Plantaardige sojadrink
2,ZUIVEL & EIEREN,kefir,46,5,0.99,vers,1.00,AH Kefir shot multifruit | Melkan Kefir drink | AH Kefir naturel
